id,first_name,second_name,web_name,team,position,ict_index,points_per_game,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,bonus,form,value_form,value_season,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,chance_of_playing_next_round,Cost
567,Luke,Cundle,Cundle,WOL,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.5
568,Nathan,Holland,Holland,WHU,MID,2.5,1.0,0.0,2,31,0,0,0,0,0.0,0.0,0.5,1,0,0,0,0,0,0,0.0,4.4
569,Curtis,Jones,Jones,LIV,MID,1.1,1.0,0.0,2,19,0,0,0,0,0.0,0.0,0.4,0,0,0,0,0,0,0,,4.5
570,Oumar,Niasse,Niasse,EVE,FWD,0.9,1.0,0.0,3,19,0,0,0,0,0.0,0.0,0.7,2,0,0,0,0,0,0,,4.5
571,Mace,Goodridge,Goodridge,BUR,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.5
572,Anthony,Driscoll-Glennon,Driscoll-Glennon,BUR,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,3.9
573,Robert,Elliot,Elliot,NEW,GKP,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
574,Mihai-Alexandru,Dobre,Dobre,BOU,MID,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.5
575,Neco,Williams,Williams,LIV,DEF,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
576,Emile,Smith Rowe,Smith Rowe,ARS,MID,1.6,2.0,0.0,4,96,0,0,1,0,0.0,0.0,0.9,0,0,0,0,0,0,0,0.0,4.3
577,Rhu-endly,Martina,Cuco Martina,EVE,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
578,Sam,Woods,Woods,CRY,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,3.9
579,Tyrick,Mitchell,Mitchell,CRY,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
580,Brandon,Pierrick,Pierrick,CRY,MID,2.7,1.0,0.0,1,7,0,0,0,0,0.0,0.0,0.2,0,0,0,0,0,0,0,,4.5
581,James,Daly,Daly,CRY,FWD,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.5
582,Joseph,Anang,Anang,WHU,GKP,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,,4.0
