GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38,id
0,2,3,2,2,3,4,4,4,2,2,1
0,2,3,2,2,3,4,4,4,2,2,2
0,2,3,2,2,3,4,4,4,2,2,3
0,2,3,2,2,3,4,4,4,2,2,4
0,2,3,2,2,3,4,4,4,2,2,5
0,2,3,2,2,3,4,4,4,2,2,6
0,2,3,2,2,3,4,4,4,2,2,7
0,2,3,2,2,3,4,4,4,2,2,8
0,2,3,2,2,3,4,4,4,2,2,9
0,2,3,2,2,3,4,4,4,2,2,10
0,2,3,2,2,3,4,4,4,2,2,11
0,2,3,2,2,3,4,4,4,2,2,12
0,2,3,2,2,3,4,4,4,2,2,13
0,2,3,2,2,3,4,4,4,2,2,14
0,2,3,2,2,3,4,4,4,2,2,15
0,2,3,2,2,3,4,4,4,2,2,16
4,4,4,2,4,4,2,3,2,3,2,17
0,2,3,2,2,3,4,4,4,2,2,18
0,2,3,2,2,3,4,4,4,2,2,19
0,2,3,2,2,3,4,4,4,2,2,20
0,2,3,2,2,3,4,4,4,2,2,21
0,4,4,3,3,5,4,3,3,4,2,22
0,4,4,3,3,5,4,3,3,4,2,23
0,4,4,3,3,5,4,3,3,4,2,24
0,4,4,3,3,5,4,3,3,4,2,25
0,4,4,3,3,5,4,3,3,4,2,26
0,4,4,3,3,5,4,3,3,4,2,27
0,4,4,3,3,5,4,3,3,4,2,28
0,4,4,3,3,5,4,3,3,4,2,29
0,4,4,3,3,5,4,3,3,4,2,30
0,4,4,3,3,5,4,3,3,4,2,31
0,4,4,3,3,5,4,3,3,4,2,32
0,4,4,3,3,5,4,3,3,4,2,33
0,4,4,3,3,5,4,3,3,4,2,34
0,4,4,3,3,5,4,3,3,4,2,35
0,4,4,3,3,5,4,3,3,4,2,36
3,3,4,4,4,2,4,4,2,2,3,37
3,3,4,4,4,2,4,4,2,2,3,38
